Order ID,Product,Quantity Ordered,Price Each,Purchase Address,country,sales,time,Year,Month,Day
176558,USB-C Charging Cable,2.0,11.95,"128 Elm St, Quebec City",Canada,1344.136,08:46:00,2019.0,April,Friday
176559,Bose SoundSport Headphones,1.0,99.99,"116 Elm St, Winnipeg",Canada,5623.4376,22:30:00,2019.0,April,Sunday
176560,Google Phone,1.0,600.0,"149 Broadway, Edmonton",Canada,33744.0,14:38:00,2019.0,April,Friday
176560,Wired Headphones,1.0,11.99,"121 Maple St, Vancouver",Canada,674.3176000000001,14:38:00,2019.0,April,Friday
176561,Wired Headphones,1.0,11.99,"123 Cedar Ave, Vancouver",Canada,674.3176000000001,09:27:00,2019.0,April,Tuesday
176562,USB-C Charging Cable,1.0,11.95,"119 Maple St, Montreal",Canada,672.068,13:03:00,2019.0,April,Monday
176563,Bose SoundSport Headphones,1.0,99.99,"130 Main St, Toronto",Canada,5623.4376,07:46:00,2019.0,April,Tuesday
176564,USB-C Charging Cable,1.0,11.95,"107 Market St, Calgary",Canada,672.068,10:58:00,2019.0,April,Friday
176565,Macbook Pro Laptop,1.0,1700.0,"101 Sunset Blvd, Montreal",Canada,95608.0,10:38:00,2019.0,April,Wednesday
176566,Wired Headphones,1.0,11.99,"107 Pacific Ave, Calgary",Canada,674.3176000000001,14:05:00,2019.0,April,Monday
176567,Google Phone,1.0,600.0,"109 Maple St, Hamilton",Canada,33744.0,17:18:00,2019.0,April,Thursday
176568,Lightning Charging Cable,1.0,14.95,"102 Pacific Ave, Vancouver",Canada,840.788,12:18:00,2019.0,April,Monday
176569,27in 4K Gaming Monitor,1.0,389.99,"133 Cedar Ave, Edmonton",Canada,21933.0376,19:23:00,2019.0,April,Tuesday
176570,AA Batteries (4-pack),1.0,3.84,"116 Oak St, Edmonton",Canada,215.9616,15:09:00,2019.0,April,Monday
176571,Lightning Charging Cable,1.0,14.95,"105 Sunset Blvd, Quebec City",Canada,840.788,14:29:00,2019.0,April,Friday
176572,Apple Airpods Headphones,1.0,150.0,"114 Market St, Vancouver",Canada,8436.0,20:30:00,2019.0,April,Thursday
176573,USB-C Charging Cable,1.0,11.95,"128 Pine St, Winnipeg",Canada,672.068,18:41:00,2019.0,April,Saturday
176574,Google Phone,1.0,600.0,"108 Sunset Blvd, Edmonton",Canada,33744.0,19:42:00,2019.0,April,Wednesday
176574,USB-C Charging Cable,1.0,11.95,"123 Pine St, Calgary",Canada,672.068,19:42:00,2019.0,April,Wednesday
176575,AAA Batteries (4-pack),1.0,2.99,"146 Sunset Blvd, Hamilton",Canada,168.15760000000003,00:30:00,2019.0,April,Saturday
176576,Apple Airpods Headphones,1.0,150.0,"147 Maple St, Quebec City",Canada,8436.0,11:42:00,2019.0,April,Sunday
176577,Apple Airpods Headphones,1.0,150.0,"115 Maple St, Quebec City",Canada,8436.0,19:25:00,2019.0,April,Thursday
176578,Apple Airpods Headphones,1.0,150.0,"118 Cedar Ave, Toronto",Canada,8436.0,23:35:00,2019.0,April,Tuesday
176579,AA Batteries (4-pack),1.0,3.84,"116 Maple St, Toronto",Canada,215.9616,10:23:00,2019.0,April,Thursday
176580,USB-C Charging Cable,1.0,11.95,"145 Market St, Montreal",Canada,672.068,00:35:00,2019.0,April,Friday
176581,iPhone,1.0,700.0,"112 Sunset Blvd, Edmonton",Canada,39368.0,21:38:00,2019.0,April,Tuesday
176582,Bose SoundSport Headphones,1.0,99.99,"109 Elm St, Winnipeg",Canada,5623.4376,12:20:00,2019.0,April,Saturday
176583,AAA Batteries (4-pack),2.0,2.99,"122 Oak St, Ottawa",Canada,336.31520000000006,12:00:00,2019.0,April,Saturday
176584,Flatscreen TV,1.0,300.0,"116 Elm St, Montreal",Canada,16872.0,20:39:00,2019.0,April,Wednesday
176585,Bose SoundSport Headphones,1.0,99.99,"110 Oak St, Ottawa",Canada,5623.4376,11:31:00,2019.0,April,Sunday
176585,Bose SoundSport Headphones,1.0,99.99,"137 Pine St, Calgary",Canada,5623.4376,11:31:00,2019.0,April,Sunday
176586,AAA Batteries (4-pack),2.0,2.99,"137 Broadway, Montreal",Canada,336.31520000000006,17:00:00,2019.0,April,Wednesday
176586,Google Phone,1.0,600.0,"134 Oak St, Ottawa",Canada,33744.0,17:00:00,2019.0,April,Wednesday
176587,27in FHD Monitor,1.0,149.99,"128 Pacific Ave, Edmonton",Canada,8435.437600000001,19:38:00,2019.0,April,Monday
176588,20in Monitor,1.0,109.99,"108 Pacific Ave, Montreal",Canada,6185.8376,04:00:00,2019.0,April,Tuesday
176589,Lightning Charging Cable,1.0,14.95,"126 Main St, Hamilton",Canada,840.788,12:23:00,2019.0,April,Thursday
176590,Google Phone,1.0,600.0,"146 Pacific Ave, Winnipeg",Canada,33744.0,11:46:00,2019.0,April,Thursday
176591,Apple Airpods Headphones,1.0,150.0,"148 Elm St, Ottawa",Canada,8436.0,07:21:00,2019.0,April,Sunday
176592,USB-C Charging Cable,1.0,11.95,"116 Elm St, Toronto",Canada,672.068,13:04:00,2019.0,April,Saturday
176593,Lightning Charging Cable,2.0,14.95,"102 Cedar Ave, Ottawa",Canada,1681.576,13:45:00,2019.0,April,Monday
176594,Wired Headphones,1.0,11.99,"117 Main St, Vancouver",Canada,674.3176000000001,23:04:00,2019.0,April,Wednesday
176595,Wired Headphones,3.0,11.99,"110 Oak St, Hamilton",Canada,2022.9528,09:11:00,2019.0,April,Tuesday
176596,Apple Airpods Headphones,1.0,150.0,"142 Elm St, Winnipeg",Canada,8436.0,20:11:00,2019.0,April,Saturday
176597,USB-C Charging Cable,1.0,11.95,"143 Broadway, Vancouver",Canada,672.068,13:39:00,2019.0,April,Friday
176598,AAA Batteries (4-pack),2.0,2.99,"130 Oak St, Calgary",Canada,336.31520000000006,20:33:00,2019.0,April,Sunday
176599,Lightning Charging Cable,1.0,14.95,"150 Oak St, Vancouver",Canada,840.788,15:25:00,2019.0,April,Thursday
176600,27in 4K Gaming Monitor,1.0,389.99,"122 Broadway, Ottawa",Canada,21933.0376,15:54:00,2019.0,April,Tuesday
176601,USB-C Charging Cable,1.0,11.95,"110 Elm St, Toronto",Canada,672.068,22:32:00,2019.0,April,Tuesday
176602,Lightning Charging Cable,1.0,14.95,"149 Pine St, Quebec City",Canada,840.788,09:39:00,2019.0,April,Tuesday
176603,USB-C Charging Cable,1.0,11.95,"148 Oak St, Calgary",Canada,672.068,07:46:00,2019.0,April,Monday
